numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20230101000000,100970.0,120.0,3.0,190.0,3.2,286.55,280.55,67.0,20000.0,0.0,,,,,,,,,100110.0,,,580.0,,,,,283.55,,,8.5,10.0,-10.0,1.0,0.0,,,-0.1,-0.1,-0.1,-0.1,1.6,,,,,,,,,,,,,,,,
7015,20230101000000,100970.0,100.0,1.0,200.0,8.6,287.15,279.75,61.0,51270.0,61.0,,,100.0,8.0,2250.0,,,,100410.0,,,690.0,,,,,283.25,,,13.2,15.0,-10.0,0.0,0.0,,,-0.1,-0.1,-0.1,-0.1,4.5,,,,,7.0,,2460.0,7.0,,3060.0,8.0,,5040.0,,,
7020,20230101000000,100760.0,320.0,2.0,230.0,12.0,284.95,282.15,83.0,6000.0,60.0,6.0,2.0,100.0,8.0,450.0,38.0,,,100650.0,,,680.0,,,,,,,,16.5,16.5,-10.0,,,,,-0.1,3.6,5.4,5.6,22.0,,,,,3.0,6.0,400.0,,,,,,,,,
7027,20230101000000,100970.0,90.0,3.0,220.0,11.5,287.55,282.95,74.0,53370.0,0.0,,,100.0,2.0,1250.0,,,,100170.0,,,640.0,,,,,284.15,,,18.2,18.2,-10.0,0.0,0.0,,,0.0,0.2,0.8,0.8,7.0,,,,,2.0,,1080.0,6.0,,3660.0,8.0,,4500.0,,,
7037,20230101000000,101100.0,50.0,0.0,200.0,9.3,286.65,279.55,62.0,48850.0,0.0,,,100.0,8.0,2250.0,,,,99240.0,,,550.0,,,,,282.95,,,15.7,15.7,-10.0,,0.0,,,-0.1,-0.1,-0.1,-0.1,1.0,,,,,5.0,,2100.0,8.0,,2520.0,,,,,,
7072,20230101000000,101500.0,0.0,4.0,190.0,6.0,286.75,277.85,55.0,20000.0,0.0,,,75.0,6.0,3000.0,,,,100360.0,,,480.0,,,,,283.65,,,10.2,11.1,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.1,,,,,3.0,,3000.0,6.0,,7380.0,,,,,,
7110,20230101000000,100910.0,230.0,1.0,220.0,9.3,284.55,282.65,88.0,14780.0,0.0,,,100.0,8.0,450.0,,,,99740.0,,,680.0,,,,,282.35,,,14.5,16.0,-10.0,2.0,0.0,,,1.0,1.0,3.0,6.4,26.2,,,,,6.0,,480.0,7.0,,750.0,7.0,,1170.0,,9.0,
7117,20230101000000,100870.0,310.0,1.0,210.0,8.5,284.55,281.05,79.0,,,,,,,,,,,100170.0,,,780.0,,,,,,,,15.3,15.9,-10.0,,,,,0.0,2.1,3.1,3.5,12.5,,,,,,,,,,,,,,,,
7130,20230101000000,101220.0,200.0,3.0,210.0,7.0,286.95,284.25,84.0,14860.0,0.0,,,90.0,7.0,450.0,,,,100780.0,,,450.0,,,,,284.45,,,12.0,14.0,-10.0,,,,,0.0,-0.1,0.2,0.2,1.6,,,,,7.0,,540.0,,,,,,,,,
7139,20230101000000,101330.0,140.0,3.0,200.0,7.5,286.95,282.55,75.0,20000.0,0.0,,,100.0,8.0,2250.0,,,,99610.0,,,560.0,,,,,282.85,,,11.8,13.0,-10.0,1.0,0.0,,,-0.1,-0.1,-0.1,-0.1,1.4,,,,,7.0,,2100.0,7.0,,2520.0,8.0,,3300.0,,,
