numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20231001000000,102460.0,-40.0,8.0,150.0,2.1,286.85,285.05,89.0,3350.0,10.0,,,,,,,,,101590.0,,,-190.0,,,,,285.85,,,3.9,4.4,-10.0,0.0,0.0,,,0.0,-0.1,-0.1,-0.1,0.2,,,,,,,,,,,,,,,,
7015,20231001000000,102470.0,-50.0,8.0,160.0,1.8,285.15,283.55,90.0,19740.0,0.0,,,,0.0,,,,,101900.0,,,-130.0,,,,,285.95,,,3.4,3.4,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
7020,20231001000000,102270.0,-30.0,6.0,200.0,4.8,291.35,289.65,90.0,16000.0,1.0,0.0,,25.0,0.0,7000.0,30.0,20.0,15.0,102160.0,,,-380.0,,,,,,,,6.8,8.0,-10.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,7000.0,,,,,,,,,
7027,20231001000000,102400.0,-40.0,8.0,140.0,1.3,286.15,285.35,95.0,17240.0,0.0,,,,0.0,,,,,101590.0,,,-250.0,,,,,288.45,,,2.4,3.8,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
7037,20231001000000,102500.0,-20.0,8.0,150.0,2.3,286.15,285.05,93.0,19430.0,0.0,,,,0.0,,,,,100610.0,,,-220.0,,,,,285.45,,,2.7,3.4,-10.0,,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
7072,20231001000000,102610.0,-30.0,6.0,100.0,1.4,283.35,282.45,94.0,18660.0,0.0,,,,0.0,,,,,101450.0,,,-90.0,,,,,282.55,,,2.3,3.1,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
7110,20231001000000,102200.0,-60.0,8.0,180.0,3.2,289.55,289.35,99.0,13640.0,0.0,,,,0.0,,,,,101040.0,,,-450.0,,,,,288.65,,,4.3,6.2,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
7117,20231001000000,102230.0,-80.0,8.0,150.0,1.6,290.15,288.65,91.0,,,,,,,,,,,101540.0,,,-470.0,,,,,,,,3.9,4.4,-10.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7130,20231001000000,102370.0,-60.0,8.0,130.0,1.5,287.35,286.05,92.0,15120.0,0.0,,,,0.0,,,,,101920.0,,,-290.0,,,,,286.35,,,2.2,2.2,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
7149,20231001000000,102550.0,-10.0,4.0,0.0,0.0,287.25,285.45,89.0,15150.0,0.0,,,,0.0,,,,,101470.0,,,-140.0,,,,,,,,0.0,0.8,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
7168,20231001000000,102620.0,-20.0,8.0,160.0,2.1,283.45,282.55,94.0,16710.0,0.0,,,,0.0,,,,,101180.0,,,-100.0,,,,,284.05,,,2.9,3.0,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7181,20231001000000,102750.0,30.0,2.0,220.0,1.5,284.85,281.55,80.0,19920.0,0.0,,,,0.0,,,,,98560.0,,,50.0,,,,,280.25,,,2.1,2.7,-10.0,,,,,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,
