numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20230401000000,99830.0,130.0,1.0,270.0,11.5,282.55,281.75,95.0,4300.0,61.0,,,,,,,,,98970.0,,,-330.0,,,,,281.95,,,18.6,21.9,-10.0,2.0,0.0,,,1.7,3.9,6.1,7.9,12.5,,,,,,,,,,,,,,,,
7015,20230401000000,99580.0,110.0,2.0,240.0,9.1,282.65,281.85,95.0,5980.0,61.0,,,100.0,8.0,250.0,,,,99020.0,,,-760.0,,,,,282.55,,,12.2,17.2,-10.0,2.0,0.0,,,1.0,2.8,3.0,5.8,9.4,,,,,8.0,,270.0,,9.0,,,,,,,
7020,20230401000000,100430.0,230.0,1.0,270.0,12.5,283.85,281.75,87.0,8000.0,2.0,2.0,,100.0,8.0,450.0,37.0,,,100320.0,,,960.0,,,,,,,,17.8,17.8,-10.0,,,,,0.0,0.0,0.0,-0.1,2.8,,,,,8.0,7.0,500.0,,,,,,,,,
7027,20230401000000,100450.0,140.0,3.0,270.0,11.3,283.25,281.05,86.0,10110.0,0.0,,,100.0,8.0,450.0,,,,99650.0,,,510.0,,,,,283.15,,,16.3,18.4,-10.0,1.0,0.0,,,0.2,0.2,1.4,1.4,2.0,,,,,7.0,,540.0,8.0,,750.0,,,,,,
7037,20230401000000,100170.0,50.0,3.0,260.0,9.3,282.55,280.35,86.0,6340.0,61.0,,,100.0,8.0,450.0,,,,98300.0,,,-160.0,,,,,282.15,,,18.0,18.1,-10.0,,0.0,,,0.4,0.8,0.8,0.8,,,,,,8.0,,420.0,,8.0,,,,,,,
7072,20230401000000,100160.0,50.0,1.0,230.0,8.6,282.75,280.15,84.0,20000.0,0.0,,,90.0,6.0,450.0,,,,99020.0,,,-650.0,,,,,281.35,,,13.2,13.5,-10.0,2.0,0.0,,,-0.1,0.4,0.8,1.0,4.8,,,,,1.0,,570.0,3.0,,1020.0,6.0,,1410.0,,,
7110,20230401000000,101100.0,130.0,2.0,280.0,5.7,282.75,281.15,90.0,14770.0,0.0,,,100.0,8.0,450.0,,,,99920.0,,,1320.0,,,,,281.35,,,9.6,12.5,-10.0,1.0,0.0,,,0.8,2.4,2.6,2.8,6.9,,,,,7.0,,540.0,7.0,,720.0,8.0,,1050.0,,,
7117,20230401000000,100850.0,160.0,1.0,250.0,9.7,283.15,281.55,90.0,,,,,,,,,,,100150.0,,,1300.0,,,,,,,,16.5,18.6,-10.0,,,,,0.0,0.0,0.0,2.6,3.2,,,,,,,,,,,,,,,,
7130,20230401000000,100990.0,160.0,2.0,250.0,5.8,282.95,280.35,84.0,36170.0,0.0,,,,2.0,800.0,,,,100540.0,,,720.0,,,,,283.15,,,10.1,10.1,-10.0,0.0,0.0,,,0.0,-0.1,-0.1,1.2,4.0,,,,,1.0,,780.0,,,,,,,,,
7139,20230401000000,100700.0,140.0,3.0,240.0,6.9,282.65,280.55,87.0,18510.0,0.0,,,100.0,8.0,450.0,,,,98960.0,,,330.0,,,,,283.25,,,12.7,12.7,-10.0,2.0,0.0,,,-0.1,0.4,1.4,6.4,12.2,,,,,7.0,,570.0,8.0,,780.0,,,,,,
7149,20230401000000,100410.0,70.0,1.0,240.0,7.1,283.15,280.55,84.0,20000.0,0.0,2.0,2.0,100.0,8.0,450.0,,,,99330.0,,,-210.0,,,,,,,,12.2,14.7,-10.0,1.0,0.0,,,0.0,-0.1,0.2,0.2,2.4,,,,,1.0,,450.0,6.0,,600.0,7.0,,750.0,,8.0,
7168,20230401000000,100540.0,20.0,0.0,240.0,11.0,282.65,279.55,81.0,20000.0,0.0,,,,2.0,1750.0,,,,99120.0,,,-340.0,,,,,281.35,,,16.8,16.8,-10.0,1.0,0.0,,,0.0,-0.1,-0.1,3.5,7.7,,,,,1.0,,1740.0,,,,,,,,,
7181,20230401000000,100460.0,20.0,1.0,230.0,9.8,281.55,279.15,85.0,55440.0,0.0,,,100.0,8.0,800.0,,,,96320.0,,,-660.0,,,,,279.15,,,15.2,15.7,-10.0,,,,,0.0,0.2,0.8,4.8,9.2,,,,,7.0,,600.0,8.0,,1320.0,,,,,,
7190,20230401000000,100510.0,30.0,3.0,240.0,6.8,283.55,278.95,73.0,60000.0,0.0,,,100.0,8.0,1250.0,,,,98710.0,,,-630.0,,,,,280.35,,,11.6,11.6,-10.0,,0.0,,,-0.1,-0.1,0.2,3.8,8.4,,,,,6.0,,1050.0,7.0,,1290.0,8.0,,1500.0,,8.0,
7207,20230401000000,101260.0,100.0,3.0,270.0,11.8,284.65,282.35,86.0,10000.0,25.0,2.0,,60.0,5.0,250.0,32.0,20.0,10.0,100740.0,,,860.0,,,,,,,,16.9,21.2,-10.0,2.0,,,,0.0,0.0,1.0,1.2,2.6,,,,,5.0,8.0,200.0,,,,,,,,,
7222,20230401000000,101200.0,100.0,1.0,270.0,8.3,284.35,281.95,85.0,12260.0,0.0,,,100.0,8.0,800.0,,,,100890.0,,,540.0,,,,,284.05,,,12.4,15.2,-10.0,2.0,0.0,,,-0.1,0.2,0.2,0.2,4.0,,,,,6.0,,660.0,7.0,,870.0,7.0,,1020.0,,,
7240,20230401000000,100960.0,80.0,1.0,250.0,6.3,283.45,281.05,85.0,17470.0,0.0,,,100.0,8.0,800.0,,,,99610.0,,,190.0,,,,,283.55,,,10.7,13.7,-10.0,1.0,0.0,,,-0.1,1.4,1.4,3.0,6.4,,,,,8.0,,660.0,,,,,,,,,
7255,20230401000000,101050.0,50.0,3.0,250.0,7.9,283.45,279.75,78.0,20000.0,0.0,,,,,,,,,99060.0,,,150.0,,,,,281.65,,,13.0,15.7,-10.0,,0.0,,,0.0,0.0,0.0,2.2,8.1,,,,,,,,,,,,,,,,
7280,20230401000000,100950.0,50.0,3.0,190.0,5.0,282.15,279.55,84.0,19730.0,60.0,,,100.0,7.0,800.0,,,,98310.0,,,-250.0,,,,,283.15,,,9.5,10.7,-10.0,0.0,0.0,,,-0.1,-0.1,-0.1,0.6,3.4,,,,,5.0,,780.0,7.0,,1110.0,8.0,,1620.0,,,
