numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20231201000000,100340.0,110.0,3.0,50.0,2.3,274.95,273.75,92.0,3830.0,10.0,,,,,,,,,99450.0,,,190.0,,,,,277.25,,,3.8,4.1,-10.0,0.0,0.0,,,0.0,0.0,0.0,-0.1,-0.1,,,,,,,,,,,,,,,,
7015,20231201000000,100390.0,100.0,3.0,60.0,2.0,273.15,272.55,96.0,3020.0,10.0,,,100.0,8.0,150.0,,,,99800.0,,,160.0,,,,,277.65,,,3.2,4.1,-10.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,8.0,,120.0,,,,,,,,,
7020,20231201000000,100210.0,150.0,3.0,120.0,5.6,279.55,277.05,84.0,,,,,,,,,,,100100.0,,,290.0,,,,,,,,8.7,14.6,-10.0,,,,,0.0,0.2,0.6,5.2,8.4,,,,,,,,,,,,,,,,
7027,20231201000000,100270.0,140.0,3.0,70.0,3.7,276.95,275.35,89.0,24400.0,0.0,,,100.0,5.0,800.0,,,,99450.0,,,210.0,,,,,279.25,,,6.0,6.0,-10.0,1.0,0.0,,,0.0,0.2,1.0,1.0,1.0,,,,,3.0,,960.0,5.0,,1320.0,8.0,,1860.0,,,
7037,20231201000000,100270.0,100.0,1.0,30.0,3.2,275.75,275.05,95.0,7440.0,51.0,,,100.0,5.0,800.0,,,,98350.0,,,120.0,,,,,277.85,,,4.4,5.7,-10.0,,0.0,,,-0.1,1.2,1.2,1.2,1.2,,,,,1.0,,990.0,5.0,,1260.0,8.0,,1560.0,,,
7072,20231201000000,100160.0,80.0,1.0,360.0,1.6,274.45,274.15,98.0,5630.0,0.0,,,100.0,8.0,2250.0,,,,98990.0,,,-120.0,,,,,275.15,,,2.7,2.7,-10.0,0.0,,,,0.0,0.0,-0.1,-0.1,-0.1,,,,,8.0,,2160.0,,,,,,,,,
7110,20231201000000,99980.0,170.0,3.0,70.0,5.0,277.35,276.45,94.0,11060.0,0.0,,,100.0,8.0,1750.0,,,,98790.0,,,170.0,,,,,275.55,,,7.0,7.4,-10.0,,0.0,,,0.0,0.0,0.0,1.2,4.8,,,,,8.0,,1680.0,,,,,,,,,
7117,20231201000000,100030.0,140.0,3.0,70.0,5.8,281.15,278.45,83.0,,,,,,,,,,,99330.0,,,190.0,,,,,,,,10.2,12.3,-10.0,,,,,0.0,0.0,0.0,0.0,5.2,,,,,,,,,,,,,,,,
7130,20231201000000,100080.0,130.0,1.0,70.0,2.4,278.95,278.25,95.0,5980.0,0.0,,,100.0,8.0,450.0,,,,99630.0,,,80.0,,,,,280.95,,,3.2,3.2,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.4,1.8,,,,,8.0,,570.0,,,,,,,,,
7139,20231201000000,100190.0,140.0,3.0,50.0,2.8,277.15,275.65,90.0,13490.0,0.0,,,100.0,8.0,800.0,,,,98420.0,,,100.0,,,,,279.95,,,4.7,4.7,-10.0,1.0,0.0,,,0.0,0.0,0.0,1.4,1.4,,,,,8.0,,900.0,,,,,,,,,
7149,20231201000000,100180.0,110.0,2.0,40.0,3.3,277.35,276.05,91.0,6260.0,0.0,,,100.0,7.0,250.0,,,,99080.0,,,-40.0,,,,,,,,4.7,5.8,-10.0,1.0,0.0,,,-0.1,0.2,0.2,0.2,0.2,,,,,5.0,,270.0,6.0,,870.0,7.0,,1140.0,,,
