numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20230501000000,101820.0,-100.0,6.0,180.0,1.3,282.85,280.75,87.0,12720.0,0.0,,,,,,,,,100940.0,,,-430.0,,,,,281.95,,,2.0,2.3,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7015,20230501000000,101760.0,-100.0,8.0,290.0,2.3,285.55,283.25,86.0,5910.0,0.0,,,100.0,8.0,1750.0,,,,101190.0,,,-530.0,,,,,285.55,,,2.9,4.1,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,1800.0,8.0,,2580.0,,,,,,
7020,20230501000000,101970.0,-60.0,6.0,280.0,4.4,284.65,284.05,96.0,4000.0,40.0,2.0,2.0,100.0,8.0,800.0,38.0,,,101860.0,,,-150.0,,,,,,,,7.9,7.9,-10.0,,,,,0.0,0.0,0.0,0.0,1.2,,,,,8.0,6.0,800.0,,,,,,,,,
7027,20230501000000,101990.0,-40.0,8.0,290.0,1.9,284.15,282.75,91.0,7690.0,0.0,,,100.0,8.0,250.0,,,,101180.0,,,-150.0,,,,,286.65,,,2.5,3.4,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,7.0,,240.0,8.0,,360.0,,,,,,
7037,20230501000000,101880.0,-50.0,6.0,280.0,4.1,284.55,282.65,88.0,5730.0,0.0,,,100.0,8.0,2250.0,,,,99990.0,,,-310.0,,,,,284.95,,,6.0,6.0,-10.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,3.0,,2160.0,8.0,,2520.0,,,,,,
7072,20230501000000,101760.0,-80.0,7.0,290.0,1.3,282.55,281.75,95.0,19830.0,0.0,,,100.0,8.0,1750.0,,,,100600.0,,,-400.0,,,,,282.75,,,1.8,2.1,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,,1680.0,8.0,,1980.0,,,,,,
7110,20230501000000,102190.0,-30.0,8.0,280.0,2.4,284.25,283.15,93.0,10700.0,0.0,,,100.0,8.0,250.0,,,,101000.0,,,40.0,,,,,283.05,,,3.9,4.2,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,210.0,8.0,,1020.0,,,,,,
7117,20230501000000,102120.0,-30.0,6.0,280.0,4.3,284.75,283.85,94.0,,,,,,,,,,,101420.0,,,30.0,,,,,,,,8.2,8.2,-10.0,,,,,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,,,,,,,
7130,20230501000000,102100.0,-30.0,7.0,310.0,2.7,285.05,283.25,89.0,25040.0,0.0,,,100.0,8.0,450.0,,,,101650.0,,,30.0,,,,,286.75,,,5.4,5.4,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.2,,,,,8.0,,360.0,,,,,,,,,
7139,20230501000000,101960.0,-30.0,6.0,270.0,1.9,284.45,283.55,94.0,5920.0,0.0,,,90.0,7.0,450.0,,,,100210.0,,,-180.0,,,,,287.25,,,3.4,3.4,-10.0,,0.0,,,0.0,0.0,0.2,0.2,0.2,,,,,7.0,,360.0,,,,,,,,,
7149,20230501000000,101830.0,-90.0,6.0,260.0,0.7,283.35,280.75,84.0,20000.0,1.0,2.0,2.0,75.0,5.0,1750.0,35.0,20.0,11.0,100740.0,,,-320.0,,,,,,,,1.2,2.4,-10.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,6.0,1560.0,5.0,0.0,8000.0,,,,,,
7168,20230501000000,101770.0,-60.0,8.0,300.0,2.5,283.65,282.45,92.0,15150.0,0.0,,,100.0,8.0,2250.0,,,,100340.0,,,-290.0,,,,,284.95,,,3.4,3.9,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,8.0,,2100.0,,,,,,,,,
7181,20230501000000,101710.0,-90.0,6.0,350.0,1.3,282.05,279.15,82.0,35880.0,0.0,,,90.0,7.0,5400.0,,,,97520.0,,,-330.0,,,,,279.85,,,1.6,2.1,-10.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,5.0,,5400.0,7.0,,6060.0,,,,,,
7190,20230501000000,101660.0,-70.0,6.0,290.0,1.6,283.45,280.55,82.0,27430.0,0.0,,,100.0,8.0,5460.0,,,,99840.0,,,-370.0,,,,,283.85,,,2.0,2.0,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,8.0,,5460.0,,,,,,,,,
7207,20230501000000,102140.0,10.0,3.0,330.0,5.3,285.75,284.85,94.0,20000.0,2.0,0.0,,10.0,1.0,1250.0,32.0,20.0,10.0,101620.0,,,20.0,,,,,,,,7.7,9.6,-10.0,0.0,,,,0.0,0.0,0.0,0.0,0.2,,,,,1.0,8.0,1000.0,,,,,,,,,
7222,20230501000000,102030.0,-50.0,7.0,10.0,1.7,283.95,283.45,97.0,630.0,44.0,,,,1.0,1250.0,,,,101710.0,,,0.0,,,,,284.25,,,2.8,2.8,-10.0,1.0,0.0,,,0.0,0.0,-0.1,1.8,1.8,,,,,1.0,,1410.0,,,,,,,,,
7240,20230501000000,101910.0,-50.0,6.0,300.0,1.6,285.35,284.75,96.0,19860.0,0.0,,,100.0,8.0,1750.0,,,,100560.0,,,-130.0,,,,,288.35,,,2.4,2.9,-10.0,,0.0,,,-0.1,2.0,2.2,2.2,2.2,,,,,3.0,,1860.0,8.0,,2340.0,,,,,,
