numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20230701000000,100940.0,-190.0,8.0,200.0,2.0,288.95,287.85,93.0,4320.0,61.0,,,,,,,,,100090.0,,,-770.0,,,,,289.65,,,6.2,7.6,-10.0,5.0,0.0,,,0.8,1.0,1.0,1.0,1.2,,,,,,,,,,,,,,,,
7015,20230701000000,100910.0,-170.0,6.0,220.0,6.8,290.25,286.55,79.0,60000.0,0.0,,,100.0,8.0,800.0,,,,100360.0,,,-730.0,,,,,291.35,,,11.4,11.4,-10.0,0.0,0.0,,,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,8.0,,660.0,,,,,,,,,
7020,20230701000000,100950.0,-150.0,7.0,250.0,8.9,289.45,289.15,98.0,1500.0,10.0,2.0,,100.0,8.0,450.0,34.0,,,100840.0,,,-910.0,,,,,,,,12.3,12.3,-10.0,,,,,0.2,0.6,1.2,1.6,1.6,,,,,8.0,7.0,400.0,,,,,,,,,
7027,20230701000000,101070.0,-180.0,7.0,240.0,5.4,290.25,289.65,96.0,17580.0,0.0,,,100.0,8.0,250.0,,,,100280.0,,,-780.0,,,,,291.05,,,8.2,8.7,-10.0,1.0,0.0,,,0.2,0.4,0.8,1.2,1.4,,,,,8.0,,270.0,,,,,,,,,
7037,20230701000000,101100.0,-180.0,7.0,200.0,5.2,288.45,288.15,98.0,5800.0,0.0,,,100.0,8.0,150.0,,,,99250.0,,,-640.0,,,,,290.25,,,7.3,8.3,-10.0,,0.0,,,0.6,0.6,0.6,0.6,0.8,,,,,8.0,,120.0,,,,,,,,,
7072,20230701000000,101210.0,-60.0,8.0,220.0,3.7,290.55,283.65,64.0,20000.0,0.0,,,100.0,8.0,1750.0,,,,100090.0,,,-280.0,,,,,287.95,,,6.2,7.5,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.4,,,,,7.0,,1980.0,8.0,,2280.0,,,,,,
7110,20230701000000,101410.0,-90.0,6.0,280.0,5.2,289.65,289.45,99.0,2000.0,51.0,,,100.0,8.0,150.0,,,,100250.0,,,-710.0,,,,,289.45,,,8.9,10.9,-10.0,2.0,0.0,,,0.6,0.8,1.8,3.2,6.8,,,,,8.0,,120.0,,,,,,,,,
7117,20230701000000,101230.0,-90.0,6.0,240.0,7.3,289.55,289.25,98.0,,,,,,,,,,,100550.0,,,-780.0,,,,,,,,11.8,13.4,-10.0,,,,,0.8,2.0,2.6,6.6,7.6,,,,,,,,,,,,,,,,
7130,20230701000000,101350.0,-120.0,6.0,230.0,3.6,290.35,289.55,95.0,16240.0,0.0,,,100.0,8.0,250.0,,,,100910.0,,,-670.0,,,,,290.35,,,6.3,7.2,-10.0,2.0,0.0,,,0.4,0.4,4.8,4.8,5.0,,,,,8.0,,240.0,,,,,,,,,
7139,20230701000000,101240.0,-170.0,6.0,220.0,4.3,289.65,289.15,97.0,10710.0,61.0,,,100.0,8.0,150.0,,,,99540.0,,,-600.0,,,,,292.45,,,7.0,7.8,-10.0,2.0,0.0,,,0.2,0.4,1.0,1.0,1.0,,,,,8.0,,180.0,,,,,,,,,
7149,20230701000000,101270.0,-130.0,8.0,230.0,5.3,290.95,285.15,69.0,45420.0,0.0,,,100.0,8.0,800.0,,,,100210.0,,,-350.0,,,,,,,,10.2,10.2,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.1,,,,,3.0,,690.0,5.0,,1050.0,8.0,,1260.0,,,
7168,20230701000000,101410.0,-30.0,8.0,230.0,4.3,288.25,282.65,69.0,20000.0,0.0,,,75.0,6.0,2820.0,,,,100010.0,,,-160.0,,,,,288.85,,,6.1,7.8,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6,,,,,6.0,,2820.0,,,,,,,,,
7181,20230701000000,101400.0,-40.0,8.0,210.0,4.1,286.75,280.95,68.0,58350.0,0.0,,,,0.0,,,,,97290.0,,,-40.0,,,,,284.25,,,5.3,5.5,-10.0,,,,,0.0,0.0,0.0,0.0,-0.1,,,,,,,,,,,,,,,,
7190,20230701000000,101340.0,-30.0,8.0,180.0,1.3,287.35,286.55,95.0,13380.0,0.0,,,,0.0,,,,,99550.0,,,110.0,,,,,285.45,,,2.4,3.4,-10.0,0.0,0.0,,,0.0,0.0,0.0,4.1,10.4,,,,,,,,,,,,,,,,
7207,20230701000000,101540.0,-100.0,6.0,270.0,9.8,291.65,290.65,94.0,10000.0,2.0,2.0,,100.0,8.0,450.0,36.0,,,101030.0,,,-620.0,,,,,,,,13.7,18.1,-10.0,1.0,,,,0.0,0.0,0.4,0.8,3.0,,,,,8.0,7.0,500.0,,,,,,,,,
7222,20230701000000,101510.0,-120.0,6.0,260.0,4.2,290.85,290.35,97.0,4570.0,10.0,,,100.0,8.0,150.0,,,,101200.0,,,-510.0,,,,,291.25,,,6.9,7.9,-10.0,2.0,,,,0.2,3.0,4.2,4.6,4.8,,,,,8.0,,150.0,,,,,,,,,
7255,20230701000000,101580.0,-80.0,8.0,240.0,4.4,290.35,285.05,71.0,20000.0,0.0,,,,,,,,,99630.0,,,-90.0,,,,,291.65,,,7.3,8.3,-10.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7280,20230701000000,101520.0,-10.0,5.0,240.0,2.2,289.45,281.45,59.0,55880.0,0.0,,,,3.0,4260.0,,,,98940.0,,,180.0,,,,,285.95,,,6.1,6.1,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.8,,,,,3.0,,4260.0,,,,,,,,,
7299,20230701000000,101400.0,-50.0,8.0,80.0,1.0,290.25,288.95,92.0,25070.0,0.0,,,100.0,8.0,2250.0,,,,98230.0,,,160.0,,,,,293.25,,,1.4,1.4,-10.0,0.0,0.0,,,0.0,0.0,0.0,1.0,17.9,,,,,8.0,,2400.0,,,,,,,,,
7314,20230701000000,101670.0,-150.0,8.0,250.0,6.3,291.25,290.45,95.0,,,6.0,2.0,,,,,,,101400.0,,,-270.0,,,,,,,,8.5,,-10.0,,,,,-0.1,-0.1,0.2,0.4,0.4,,,,,,,,,,,,,,,,
