numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20230201000000,102600.0,-10.0,8.0,270.0,5.7,280.15,278.45,89.0,13530.0,0.0,,,,,,,,,101710.0,,,-250.0,,,,,278.55,,,8.3,9.2,-10.0,1.0,0.0,,,0.0,0.0,0.0,-0.1,-0.1,,,,,,,,,,,,,,,,
7015,20230201000000,102450.0,-40.0,5.0,260.0,4.7,280.25,278.55,89.0,19370.0,0.0,,,100.0,8.0,1250.0,,,,101870.0,,,-320.0,,,,,278.15,,,6.3,7.1,-10.0,1.0,0.0,,,0.0,0.0,-0.1,0.2,0.4,,,,,8.0,,1440.0,,,,,,,,,
7020,20230201000000,102950.0,0.0,5.0,300.0,7.8,281.95,277.15,72.0,14000.0,1.0,,,,,,,,,102840.0,,,-40.0,,,,,,,,9.9,11.9,-10.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7027,20230201000000,102950.0,20.0,0.0,270.0,4.6,280.35,277.15,80.0,19940.0,0.0,,,100.0,8.0,800.0,,,,102120.0,,,-80.0,,,,,279.35,,,7.3,7.3,-10.0,1.0,0.0,,,0.0,0.0,0.0,0.2,0.2,,,,,8.0,,990.0,,,,,,,,,
7037,20230201000000,102790.0,-30.0,8.0,280.0,4.6,280.35,277.35,81.0,18140.0,0.0,,,100.0,8.0,450.0,,,,100850.0,,,-170.0,,,,,278.25,,,7.7,10.9,-10.0,,0.0,,,0.0,0.0,-0.1,0.4,0.4,,,,,1.0,,510.0,8.0,,990.0,,,,,,
7072,20230201000000,102630.0,-80.0,8.0,250.0,4.7,280.35,278.35,87.0,19940.0,0.0,,,100.0,8.0,450.0,,,,101450.0,,,-300.0,,,,,278.65,,,7.8,7.8,-10.0,1.0,0.0,,,0.0,0.0,-0.1,-0.1,-0.1,,,,,7.0,,390.0,8.0,,780.0,,,,,,
7110,20230201000000,103260.0,0.0,0.0,280.0,1.3,280.85,277.95,82.0,18820.0,0.0,,,100.0,8.0,800.0,,,,102040.0,,,50.0,,,,,278.45,,,2.8,4.7,-10.0,,0.0,,,0.0,0.0,-0.1,0.6,0.6,,,,,8.0,,870.0,,,,,,,,,
7117,20230201000000,103120.0,0.0,0.0,270.0,3.7,282.55,277.35,70.0,,,,,,,,,,,102400.0,,,-30.0,,,,,,,,7.4,10.0,-10.0,,,,,0.0,0.0,-0.1,0.8,0.8,,,,,,,,,,,,,,,,
7130,20230201000000,103160.0,0.0,5.0,290.0,2.8,281.15,278.45,83.0,18970.0,0.0,,,100.0,8.0,800.0,,,,102700.0,,,0.0,,,,,279.95,,,4.6,6.0,-10.0,2.0,0.0,,,0.0,0.2,0.2,0.4,0.4,,,,,8.0,,930.0,,,,,,,,,
7139,20230201000000,103010.0,-10.0,5.0,290.0,3.3,280.65,277.45,80.0,20000.0,0.0,,,100.0,8.0,800.0,,,,101220.0,,,-70.0,,,,,277.65,,,6.0,6.9,-10.0,1.0,0.0,,,0.0,0.0,-0.1,-0.1,-0.1,,,,,8.0,,900.0,,,,,,,,,
7149,20230201000000,102850.0,-40.0,7.0,240.0,2.8,279.85,278.05,88.0,15030.0,0.0,,,100.0,8.0,450.0,,,,101730.0,,,-170.0,,,,,,,,4.7,4.7,-10.0,0.0,0.0,,,0.0,0.0,-0.1,-0.1,-0.1,,,,,7.0,,300.0,8.0,,450.0,,,,,,
7168,20230201000000,102850.0,-60.0,8.0,240.0,6.4,278.25,277.05,92.0,9400.0,61.0,,,100.0,8.0,800.0,,,,101380.0,,,-160.0,,,,,278.05,,,8.8,11.4,-10.0,2.0,0.0,,,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,2.0,,630.0,3.0,,840.0,6.0,,1110.0,,,
7181,20230201000000,102750.0,-90.0,8.0,230.0,6.9,276.75,276.35,97.0,13330.0,0.0,,,100.0,8.0,150.0,,,,98440.0,,,-240.0,,,,,276.35,,,10.2,10.2,-10.0,,,,,0.2,0.2,0.4,0.4,0.4,,,,,8.0,,180.0,,,,,,,,,
7190,20230201000000,102690.0,-100.0,7.0,210.0,5.3,277.55,275.85,89.0,60000.0,0.0,,,100.0,2.0,800.0,,,,100810.0,,,-280.0,,,,,276.05,,,7.9,7.9,-10.0,1.0,0.0,,,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,1.0,,720.0,8.0,,1740.0,,,,,,
7222,20230201000000,103160.0,-60.0,7.0,220.0,1.0,279.65,278.45,92.0,12730.0,0.0,,,100.0,8.0,250.0,,,,102830.0,,,20.0,,,,,279.15,,,1.6,2.5,-10.0,0.0,0.0,,,0.0,-0.1,-0.1,-0.1,-0.1,,,,,1.0,,240.0,8.0,,1170.0,,,,,,
7240,20230201000000,103080.0,-80.0,8.0,240.0,2.8,278.65,276.65,87.0,14380.0,0.0,,,100.0,8.0,800.0,,,,101680.0,,,-40.0,,,,,278.35,,,3.9,4.5,-10.0,0.0,0.0,,,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,6.0,,600.0,8.0,,960.0,,,,,,
