numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,Unnamed: 59
7005,20231101000000,100340,-100,6,210,2.400000,286.150000,284.050000,87,20000,0,,,,,,,,,99490,,,360,,,,,283.850000,,,6.800000,11.400000,-10,1,,,,0.000000,1.600000,4.800000,5.400000,6.200000,,,,,,,,,,,,,,,,,
7015,20231101000000,100320,-210,8,170,5.000000,284.750000,284.450000,98,14380,0,,,100,8,150,,,,99760,,,410,,,,,284.650000,,,7.800000,8.000000,-10,2,0.000000,,,1.100000,6.500000,6.500000,6.500000,8.500000,,,,,7,,180,7,,300,8,,540,,8,,
7020,20231101000000,99960,-200,8,190,10.400000,288.250000,286.150000,87,10000,50,5,2,100,8,450,36,,,99850,,,170,,,,,,,,14.400000,15.900000,-10,,,,,-0.100000,-0.100000,-0.100000,11.300000,11.500000,,,,,8,7,500,,,,,,,,,,
7027,20231101000000,100320,-120,8,190,5.900000,286.850000,284.750000,87,34030,0,,,100,6,800,,,,99530,,,340,,,,,285.550000,,,8.800000,11.500000,-10,1,0.000000,,,0.000000,0.000000,0.400000,1.600000,2.400000,,,,,5,,600,6,,750,6,,2280,,,,
7037,20231101000000,100490,-60,8,190,6.100000,285.550000,284.250000,92,35150,0,,,90,5,450,,,,98630,,,420,,,,,284.850000,,,8.400000,10.000000,-10,,0.000000,,,0.000000,0.000000,1.400000,2.400000,2.600000,,,,,2,,480,5,,720,6,,3600,,,,
7072,20231101000000,100740,-120,6,210,5.900000,285.950000,284.150000,89,20000,0,,,90,2,450,,,,99610,,,580,,,,,284.150000,,,9.400000,9.400000,-10,1,0.000000,,,0.000000,0.200000,0.200000,0.200000,0.200000,,,,,2,,540,3,,1860,6,,3420,,,,
7110,20231101000000,99670,-410,8,180,12.700000,287.150000,285.750000,91,11130,61,,,100,8,450,,,,98520,,,-320,,,,,285.850000,,,22.400000,22.400000,-10,2,0.000000,,,0.200000,0.400000,0.400000,0.400000,1.600000,,,,,6,,450,7,,630,7,,780,,9,,
7117,20231101000000,99840,-260,8,170,7.000000,286.950000,285.550000,91,,,,,,,,,,,99160,,,-40,,,,,,,,13.200000,13.700000,-10,,,,,2.200000,3.400000,3.400000,6.800000,7.400000,,,,,,,,,,,,,,,,,
7130,20231101000000,100350,-200,8,170,5.200000,287.150000,285.550000,90,28140,0,,,100,3,450,,,,99910,,,340,,,,,286.150000,,,8.500000,8.500000,-10,,,,,0.000000,-0.100000,0.800000,1.800000,1.800000,,,,,2,,510,3,,690,6,,1560,,,,
7139,20231101000000,100570,-120,8,190,6.300000,285.950000,284.850000,93,7960,51,,,100,8,250,,,,98860,,,440,,,,,285.950000,,,10.900000,10.900000,-10,2,0.000000,,,-0.100000,-0.100000,-0.100000,0.200000,0.200000,,,,,6,,240,8,,390,,,,,,,
7149,20231101000000,100750,-60,8,220,5.800000,286.450000,284.350000,87,27440,0,,,100,8,450,,,,99680,,,540,,,,,,,,9.900000,11.500000,-10,1,0.000000,,,0.000000,0.000000,-0.100000,0.800000,1.000000,,,,,8,,390,,,,,,,,,,
7168,20231101000000,100940,-100,7,210,6.100000,285.150000,283.250000,88,20000,0,,,,3,3060,,,,99530,,,620,,,,,284.550000,,,8.700000,9.600000,-10,0,0.000000,,,0.000000,0.000000,-0.100000,-0.100000,-0.100000,,,,,1,,3060,3,,5340,,,,,,,
7181,20231101000000,101050,-60,7,190,6.100000,283.850000,281.650000,86,60000,0,,,100,1,800,,,,96920,,,720,,,,,282.050000,,,8.400000,9.900000,-10,,,,,0.000000,0.200000,0.200000,0.200000,,,,,,1,,810,8,,3480,,,,,,,
7190,20231101000000,101140,-100,7,170,3.500000,284.250000,282.850000,91,37810,0,,,100,8,2250,,,,99330,,,840,,,,,282.950000,,,5.500000,5.700000,-10,1,0.000000,,,0.000000,0.200000,0.600000,0.600000,0.600000,,,,,3,,2100,8,,3240,,,,,,,
7207,20231101000000,100160,-350,8,180,14.900000,290.450000,285.750000,74,15000,2,2,,100,8,450,38,,,99660,,,100,,,,,,,,23.600000,24.700000,-10,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,6,6,500,2,8,800,,,,,,,
7222,20231101000000,100510,-210,8,170,4.600000,286.750000,284.750000,88,40830,0,,,90,7,2700,,,,100200,,,560,,,,,285.050000,,,7.500000,7.500000,-10,1,0.000000,,,0.000000,0.000000,0.000000,0.800000,5.000000,,,,,1,,2700,7,,5940,,,,,,,
7240,20231101000000,100830,-120,8,180,4.400000,285.050000,283.950000,93,17900,0,,,,2,7140,,,,99490,,,560,,,,,284.750000,,,6.200000,7.800000,-10,0,0.000000,,,0.000000,0.000000,0.000000,-0.100000,0.200000,,,,,2,,7140,,,,,,,,,,
7255,20231101000000,101090,-100,7,170,2.400000,282.450000,281.550000,94,20000,0,,,,,,,,,99090,,,640,,,,,282.550000,,,3.200000,5.800000,-10,,0.000000,,,0.000000,0.000000,0.000000,-0.100000,3.200000,,,,,,,,,,,,,,,,,
7280,20231101000000,101250,-70,6,170,2.500000,282.050000,281.550000,97,19760,0,,,,3,4080,,,,98610,,,670,,,,,283.250000,,,3.600000,4.400000,-10,1,0.000000,,,0.000000,0.000000,0.000000,0.200000,0.600000,,,,,3,,4080,,,,,,,,,,
7299,20231101000000,101350,-40,6,140,2.600000,280.950000,279.550000,91,25200,0,,,,2,5160,,,,98070,,,850,,,,,282.150000,,,3.200000,3.900000,-10,0,0.000000,,,0.000000,0.000000,0.000000,0.600000,0.600000,,,,,2,,5160,,,,,,,,,,
7314,20231101000000,100690,-240,8,160,8.800000,288.650000,284.250000,75,10000,3,2,,90,7,800,35,,,100420,,,520,,,,,,,,14.000000,14.000000,-10,2,,,,0.000000,0.000000,0.000000,0.000000,0.600000,,,,,7,6,800,,,,,,,,,,
7335,20231101000000,100910,-170,8,170,3.800000,284.850000,283.950000,94,43850,0,,,90,7,2250,,,,99480,,,560,,,,,285.350000,,,5.600000,6.800000,-10,1,,,,0.000000,0.000000,0.000000,0.200000,3.600000,,,,,7,,2280,,,,,,,,,,
7434,20231101000000,101110,-170,8,150,2.700000,283.050000,282.850000,99,2960,10,,,100,8,80,,,,96360,,,460,,,,,284.150000,,,4.500000,6.600000,-10,,0.000000,,,0.000000,0.000000,0.000000,0.000000,9.100000,,,,,8,,60,,,,,,,,,,
7460,20231101000000,101270,-130,6,10,0.700000,282.650000,280.050000,84,59930,0,,,,0,,,,,97330,,,570,,,,,281.850000,,,1.500000,6.100000,-10,1,0.000000,,,0.000000,0.000000,0.000000,0.000000,-0.100000,,,,,,,,,,,,,,,,,
7471,20231101000000,,-110,8,230,1.700000,276.650000,275.950000,95,20000,0,,,,0,,,,,91770,92500,769,590,,,,,276.450000,,,2.300000,3.300000,-10,1,0.000000,,,0.000000,0.000000,0.000000,0.000000,-0.100000,,,,,,,,,,,,,,,,,
7481,20231101000000,101390,-90,7,180,3.500000,282.250000,280.550000,89,30000,2,0,0,0,0,,30,20,10,98510,,,630,,,,,,,,4.600000,6.600000,-10,0,0.000000,0.000000,-60,0.000000,0.000000,0.000000,1.200000,1.200000,,,,,,,,,,,,,,,,,
7510,20231101000000,100970,-200,8,150,4.300000,285.150000,282.150000,82,58380,0,,,100,8,2250,,,,100390,,,280,,,,,282.650000,,,6.300000,6.300000,-10,0,0.000000,,,0.000000,0.000000,0.000000,-0.100000,6.600000,,,,,3,,2160,8,,6480,,,,,,,
7535,20231101000000,101200,-200,8,120,3.000000,283.550000,282.450000,93,20000,0,,,,5,7020,,,,98090,,,300,,,,,283.750000,,,4.900000,5.700000,-10,1,0.000000,,,0.000000,0.000000,0.000000,0.000000,9.500000,,,,,5,,7020,,,,,,,,,,
7558,20231101000000,101400,-170,8,70,2.700000,280.550000,280.250000,98,20000,0,,,,,,,,,93070,,,420,,,,,281.450000,,,3.400000,4.400000,-10,,0.000000,,,0.000000,0.000000,0.000000,0.200000,0.400000,,,,,,,,,,,,,,,,,
