numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20230801000000,100300.0,-50.0,6.0,270.0,5.0,288.55,288.05,97.0,20000.0,0.0,,,,,,,,,99460.0,,,-1090.0,,,,,290.05,,,8.4,8.4,-10.0,,0.0,,,0.0,0.4,8.3,21.6,22.2,,,,,,,,,,,,,,,,
7015,20230801000000,100180.0,-90.0,6.0,250.0,5.2,288.75,287.95,95.0,51230.0,0.0,,,100.0,1.0,250.0,,,,99630.0,,,-1150.0,,,,,290.15,,,7.6,9.4,-10.0,1.0,0.0,,,-0.1,0.6,4.9,9.7,10.3,,,,,1.0,,240.0,8.0,,1740.0,,,,,,
7020,20230801000000,100540.0,0.0,0.0,270.0,8.3,289.45,288.15,92.0,12000.0,1.0,2.0,,60.0,4.0,800.0,32.0,24.0,10.0,100430.0,,,-800.0,,,,,,,,12.3,12.3,-10.0,2.0,,,,0.0,0.0,0.2,6.6,8.0,,,,,4.0,8.0,600.0,2.0,3.0,2000.0,,,,,,
7027,20230801000000,100600.0,120.0,3.0,280.0,6.2,289.05,287.95,93.0,49780.0,0.0,,,100.0,5.0,150.0,,,,99810.0,,,-950.0,,,,,291.25,,,9.4,10.3,-10.0,1.0,0.0,,,-0.1,2.0,5.2,10.4,13.2,,,,,2.0,,180.0,5.0,,870.0,8.0,,6360.0,,,
7037,20230801000000,100440.0,-10.0,5.0,310.0,5.8,288.75,288.45,98.0,3180.0,50.0,,,100.0,8.0,150.0,,,,98610.0,,,-1080.0,,,,,289.65,,,9.1,11.6,-10.0,,0.0,,,0.8,13.4,17.6,22.6,28.6,,,,,8.0,,150.0,,,,,,,,,
7072,20230801000000,100300.0,-250.0,8.0,230.0,8.4,291.75,289.55,87.0,20000.0,0.0,,,100.0,8.0,450.0,,,,99200.0,,,-1310.0,,,,,290.55,,,14.3,15.9,-10.0,,0.0,,,-0.1,2.4,4.4,7.4,7.4,,,,,6.0,,540.0,8.0,,1350.0,,8.0,,,,
7110,20230801000000,100980.0,100.0,1.0,280.0,3.5,288.15,287.55,96.0,17900.0,0.0,,,75.0,2.0,450.0,,,,99820.0,,,-630.0,,,,,287.25,,,6.5,6.6,-10.0,1.0,0.0,,,0.0,-0.1,1.2,11.1,15.1,,,,,2.0,,390.0,6.0,,5880.0,,,,,,
7117,20230801000000,100810.0,60.0,0.0,250.0,6.2,289.05,288.25,95.0,,,,,,,,,,,100130.0,,,-670.0,,,,,,,,11.1,11.1,-10.0,,,,,0.0,0.2,0.2,13.3,15.1,,,,,,,,,,,,,,,,
7130,20230801000000,100840.0,50.0,3.0,320.0,6.6,289.95,288.85,93.0,4580.0,60.0,,,100.0,8.0,150.0,,,,100400.0,,,-920.0,,,,,290.55,,,10.5,10.6,-10.0,2.0,0.0,,,0.6,0.6,3.4,8.0,8.0,,,,,4.0,,180.0,6.0,,450.0,8.0,,630.0,,,
7139,20230801000000,100580.0,-110.0,6.0,240.0,4.6,291.15,290.55,96.0,2580.0,50.0,,,100.0,8.0,150.0,,,,98900.0,,,-1120.0,,,,,291.95,,,8.3,8.8,-10.0,2.0,0.0,,,1.2,3.0,18.5,26.0,26.2,,,,,7.0,,180.0,8.0,,300.0,,,,,,
7149,20230801000000,100490.0,-180.0,6.0,240.0,8.5,291.25,289.95,92.0,13310.0,0.0,,,100.0,8.0,450.0,,,,99440.0,,,-1170.0,,,,,,,,14.6,14.6,-10.0,1.0,0.0,,,0.0,4.5,6.9,10.5,10.9,,,,,8.0,,360.0,,,,,,,,,
7168,20230801000000,100640.0,-160.0,6.0,230.0,9.5,291.05,289.25,89.0,9490.0,63.0,,,100.0,8.0,2760.0,,,,99270.0,,,-1100.0,,,,,290.85,,,13.2,15.7,-10.0,2.0,0.0,,,2.0,3.2,7.4,7.4,7.4,,,,,7.0,,2760.0,8.0,,3480.0,,9.0,,,,
7181,20230801000000,100580.0,-240.0,6.0,220.0,8.2,291.45,287.75,79.0,41330.0,0.0,,,100.0,7.0,1250.0,,,,96580.0,,,-1110.0,,,,,289.75,,,11.3,12.8,-10.0,,,,,0.2,0.4,1.4,2.6,2.6,,,,,7.0,,1080.0,7.0,,1410.0,8.0,,2700.0,,,
7190,20230801000000,100590.0,-310.0,6.0,170.0,3.4,292.15,288.85,81.0,33530.0,0.0,,,100.0,1.0,800.0,,,,98850.0,,,-1150.0,,,,,290.25,,,5.7,6.2,-10.0,1.0,0.0,,,0.0,-0.1,0.6,1.4,1.4,,,,,1.0,,900.0,7.0,,1860.0,8.0,,2160.0,,8.0,
7207,20230801000000,101020.0,30.0,3.0,290.0,6.0,290.25,290.25,100.0,,,2.0,,,,,,,,100510.0,,,-880.0,,,,,,,,12.4,18.9,-10.0,,,,,0.0,0.2,0.8,1.0,,,,,,,,,,,,,,,,,
7222,20230801000000,100940.0,-90.0,6.0,260.0,6.0,292.25,291.45,95.0,19880.0,0.0,,,100.0,8.0,250.0,,,,100640.0,,,-970.0,,,,,292.15,,,10.3,12.7,-10.0,2.0,,,,0.4,1.6,2.8,2.8,2.8,,,,,8.0,,240.0,,,,,,,,,
7240,20230801000000,100810.0,-220.0,6.0,220.0,7.3,291.05,290.25,95.0,10060.0,0.0,,,100.0,8.0,250.0,,,,99510.0,,,-1030.0,,,,,291.75,,,12.0,12.1,-10.0,2.0,0.0,,,0.4,0.6,0.6,0.8,0.8,,,,,8.0,,210.0,,,,,,,,,
7255,20230801000000,100960.0,-220.0,8.0,230.0,6.8,292.95,287.55,71.0,20000.0,0.0,,,,,,,,,99040.0,,,-910.0,,,,,292.35,,,10.9,10.9,-10.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7280,20230801000000,100850.0,-150.0,8.0,200.0,4.3,295.65,286.75,57.0,22930.0,0.0,,,100.0,8.0,2640.0,,,,98340.0,,,-1010.0,,,,,294.05,,,7.8,9.9,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,3.0,,2640.0,8.0,,3660.0,,,,,,
7299,20230801000000,100790.0,-260.0,6.0,160.0,2.3,293.95,286.15,61.0,34430.0,0.0,,,100.0,8.0,2760.0,,,,97670.0,,,-1020.0,,,,,291.95,,,3.0,3.4,-10.0,0.0,0.0,,,0.0,0.0,0.0,-0.1,-0.1,,,,,3.0,,2760.0,7.0,,4080.0,8.0,,4620.0,,8.0,
7314,20230801000000,101220.0,-180.0,6.0,240.0,10.2,293.35,292.55,95.0,5000.0,63.0,6.0,2.0,100.0,8.0,450.0,37.0,,,100950.0,,,-830.0,,,,,,,,13.6,14.9,-10.0,2.0,,,,0.2,0.6,0.6,0.6,0.6,,,,,8.0,7.0,500.0,,,,,,,,,
7335,20230801000000,101100.0,-200.0,6.0,230.0,10.0,292.35,289.35,83.0,34130.0,0.0,,,100.0,7.0,450.0,,,,99700.0,,,-850.0,,,,,293.55,,,14.9,15.7,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,7.0,,480.0,8.0,,1620.0,,,,,,
7434,20230801000000,101320.0,-150.0,8.0,220.0,6.8,290.35,287.65,84.0,28510.0,0.0,,,100.0,7.0,450.0,,,,96680.0,,,-670.0,,,,,290.15,,,10.0,10.2,-10.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,5.0,,480.0,7.0,,930.0,8.0,,2880.0,,,
7460,20230801000000,101170.0,-90.0,6.0,170.0,4.4,293.15,285.15,60.0,57680.0,0.0,,,,2.0,1750.0,,,,97380.0,,,-770.0,,,,,290.65,,,8.0,8.0,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,,1740.0,,,,,,,,,
7471,20230801000000,,-140.0,6.0,260.0,2.2,290.65,283.55,63.0,20000.0,0.0,,,,0.0,,,,,91940.0,92500.0,781.0,-600.0,,,,,285.85,,,5.7,7.9,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7481,20230801000000,101110.0,-80.0,6.0,240.0,3.2,294.05,285.95,60.0,50000.0,1.0,2.0,2.0,60.0,1.0,,30.0,23.0,11.0,98350.0,,,-830.0,,,,,,,,4.7,4.7,-10.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,3.0,4700.0,5.0,0.0,8000.0,,,,,,
7510,20230801000000,101530.0,-140.0,8.0,200.0,3.6,291.75,289.55,87.0,29220.0,0.0,,,,2.0,800.0,,,,100970.0,,,-600.0,,,,,290.25,,,4.9,5.6,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,600.0,,,,,,,,,
7535,20230801000000,101610.0,20.0,2.0,250.0,1.8,290.45,287.35,82.0,20000.0,0.0,,,90.0,6.0,800.0,,,,98570.0,,,-480.0,,,,,293.45,,,7.5,7.5,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,6.0,,660.0,7.0,,4140.0,,,,,,
7558,20230801000000,101430.0,-60.0,6.0,280.0,3.2,290.75,284.55,67.0,20000.0,0.0,,,,,,,,,93390.0,,,-410.0,,,,,,,,6.3,6.3,-10.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7577,20230801000000,101140.0,-30.0,7.0,290.0,0.5,291.85,287.35,75.0,20000.0,0.0,,,,,,,,,100270.0,,,-700.0,,,,,292.55,,,1.2,1.9,-10.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7591,20230801000000,,40.0,7.0,0.0,0.0,290.05,282.45,61.0,,,,,,,,,,,91420.0,,,-370.0,,284.65,,303.35,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
7607,20230801000000,101700.0,-90.0,8.0,230.0,2.2,291.35,289.35,88.0,12940.0,0.0,,,,,,,,,101000.0,,,-480.0,,,,,290.45,,,3.7,4.5,-10.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
